instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,0.029411764705882353,5201,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-4521,ok,1.0,0.25,5622,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,1.0,1.0,5912,,apache/dubbo,java
polybench500::apache__dubbo-3013,ok,1.0,0.45,6172,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-2750,ok,1.0,0.3333333333333333,5084,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,1.0,0.1111111111111111,4474,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,1.0,0.03125,5394,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,0.25,3986,,apache/dubbo,java
polybench500::apache__dubbo-10846,ok,1.0,0.041666666666666664,6292,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,0.038461538461538464,4691,,angular/angular,typescript
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,0.08333333333333333,6249,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,1.0,0.34782608695652173,4736,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,1.0,0.3,4360,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,0.15151515151515152,4676,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,0.1111111111111111,5650,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,0.08333333333333333,5123,,apache/dubbo,java
polybench500::apache__dubbo-11255,ok,1.0,0.034482758620689655,6440,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,0.125,2915,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,1.0,0.2857142857142857,3374,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,0.05555555555555555,6094,,apache/dubbo,java
polybench500::apache__dubbo-8029,ok,1.0,0.11538461538461539,5876,,apache/dubbo,java
polybench500::apache__rocketmq-516,ok,1.0,0.25,2107,,apache/rocketmq,java
polybench500::apache__rocketmq-3862,ok,1.0,0.1111111111111111,6251,,apache/rocketmq,java
polybench500::apache__rocketmq-8051,ok,1.0,0.5,6458,,apache/rocketmq,java
polybench500::angular__angular-37484,ok,1.0,0.1111111111111111,4388,,angular/angular,typescript
polybench500::apache__rocketmq-1636,ok,1.0,0.038461538461538464,4080,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,1.0,0.7368421052631579,6507,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,0.5,0.058823529411764705,6155,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,1.0,0.5,955,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,1.0,0.7272727272727273,7034,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,1.0,0.3076923076923077,5596,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,1.0,0.16,6157,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,1.0,0.05263157894736842,6323,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,1.0,0.06060606060606061,5240,,apache/rocketmq,java
polybench500::apache__rocketmq-7455,ok,1.0,0.02631578947368421,3533,,apache/rocketmq,java
polybench500::apache__rocketmq-4763,ok,1.0,0.2,5520,,apache/rocketmq,java
polybench500::apache__rocketmq-6455,ok,1.0,0.875,6561,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,0.8888888888888888,0.5714285714285714,5786,,apache/rocketmq,java
polybench500::apache__rocketmq-4504,ok,1.0,0.06666666666666667,5375,,apache/rocketmq,java
polybench500::apache__rocketmq-7712,ok,1.0,0.2,5384,,apache/rocketmq,java
polybench500::apache__rocketmq-3881,ok,1.0,0.3333333333333333,6175,,apache/rocketmq,java
polybench500::apache__rocketmq-7655,ok,1.0,0.05263157894736842,6571,,apache/rocketmq,java
polybench500::apache__rocketmq-5008,ok,1.0,0.5,6335,,apache/rocketmq,java
polybench500::apache__rocketmq-5706,ok,1.0,0.2727272727272727,4817,,apache/rocketmq,java
polybench500::apache__rocketmq-5196,ok,1.0,0.06666666666666667,5546,,apache/rocketmq,java
polybench500::apache__rocketmq-1742,ok,1.0,0.1,4504,,apache/rocketmq,java
polybench500::apache__rocketmq-3958,ok,1.0,0.125,2299,,apache/rocketmq,java
polybench500::apache__rocketmq-7964,ok,1.0,0.03333333333333333,6036,,apache/rocketmq,java
polybench500::apache__rocketmq-5286,ok,1.0,0.2727272727272727,6985,,apache/rocketmq,java
polybench500::apache__rocketmq-7426,ok,1.0,0.034482758620689655,5557,,apache/rocketmq,java
polybench500::apache__rocketmq-4122,ok,1.0,0.3333333333333333,5153,,apache/rocketmq,java
polybench500::apache__rocketmq-4457,ok,1.0,0.06666666666666667,6099,,apache/rocketmq,java
polybench500::apache__rocketmq-6522,ok,0.9411764705882353,0.9411764705882353,6596,,apache/rocketmq,java
polybench500::apache__rocketmq-5633,ok,1.0,0.13333333333333333,4993,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4568,ok,1.0,0.09090909090909091,6545,,apolloconfig/apollo,java
polybench500::apache__rocketmq-5037,ok,1.0,0.1,6361,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4199,ok,1.0,0.2222222222222222,5315,,apolloconfig/apollo,java
polybench500::apache__rocketmq-6651,ok,1.0,0.047619047619047616,6131,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4464,ok,1.0,1.0,5048,,apolloconfig/apollo,java
polybench500::apolloconfig__apollo-4207,ok,1.0,0.08108108108108109,5383,,apolloconfig/apollo,java
polybench500::apolloconfig__apollo-1894,ok,1.0,0.03125,5382,,apolloconfig/apollo,java
polybench500::coder__code-server-5633,ok,1.0,0.2727272727272727,5758,,coder/code-server,typescript
polybench500::coder__code-server-6225,ok,1.0,0.3125,6025,,coder/code-server,typescript
polybench500::coder__code-server-4923,ok,1.0,0.1111111111111111,5777,,coder/code-server,typescript
polybench500::coder__code-server-4678,ok,0.9166666666666666,0.44,5274,,coder/code-server,typescript
polybench500::coder__code-server-6423,ok,1.0,0.5,2182,,coder/code-server,typescript
polybench500::coder__code-server-6115,ok,1.0,0.25,3176,,coder/code-server,typescript
polybench500::coder__code-server-4597,ok,1.0,0.21875,3844,,coder/code-server,typescript
polybench500::google__gson-2130,ok,1.0,0.3333333333333333,959,,google/gson,java
polybench500::google__gson-2178,ok,1.0,0.75,4954,,google/gson,java
polybench500::google__gson-2337,ok,1.0,0.06666666666666667,4525,,google/gson,java
polybench500::google__gson-769,ok,1.0,0.1111111111111111,3315,,google/gson,java
polybench500::apolloconfig__apollo-4119,ok,1.0,0.24390243902439024,4799,,apolloconfig/apollo,java
polybench500::google__gson-2435,ok,1.0,0.4166666666666667,6415,,google/gson,java
polybench500::google__gson-1832,ok,1.0,0.3076923076923077,5919,,google/gson,java
polybench500::google__gson-2479,ok,1.0,0.13333333333333333,4916,,google/gson,java
polybench500::google__gson-2498,ok,1.0,0.15,5371,,google/gson,java
polybench500::google__gson-2376,apply_fail,0.0,0.0,0,,google/gson,java
polybench500::google__gson-2153,ok,1.0,0.0625,5840,,google/gson,java
