instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,0.058823529411764705,6279,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-4521,ok,1.0,0.16666666666666666,6316,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,1.0,1.0,6162,,apache/dubbo,java
polybench500::apache__dubbo-3013,ok,1.0,0.8181818181818182,6460,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-2750,ok,1.0,0.14285714285714285,6279,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,1.0,0.14285714285714285,4883,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,1.0,0.07142857142857142,6357,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,0.14285714285714285,2314,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,0.06666666666666667,5778,,angular/angular,typescript
polybench500::apache__dubbo-10846,ok,1.0,0.047619047619047616,6252,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,1.0,0.7272727272727273,4034,,apache/dubbo,java
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,0.07142857142857142,6158,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,1.0,0.25,5277,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,1.0,4070,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,0.2,5977,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,0.09090909090909091,5303,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,0.2,3571,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,1.0,0.4,3050,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,0.09090909090909091,6320,,apache/dubbo,java
